"merge","id","id_str","name","screen_name","location","description","url","followers_count","friends_count","created_at","time_zone","lang","party"
"senjeffmerkley",29201047,29201047,"Senator Jeff Merkley","SenJeffMerkley","Oregon","U.S. Senator from the State of Oregon","http://t.co/g0KThX0Tg5",30993,177,"Mon Apr 06 13:38:39 +0000 2009","Eastern Time (US & Canada)","en","D"
"senjohnbarrasso",202206694,202206694,"Sen. John Barrasso","SenJohnBarrasso","","U.S. Senator for the great state of Wyoming and @Senate_RPC Chairman.","http://t.co/oAKWpUrAWS",17518,445,"Wed Oct 13 14:49:08 +0000 2010","Mountain Time (US & Canada)","en","R"
"senjohnhoeven",382791093,382791093,"Senator John Hoeven","SenJohnHoeven","North Dakota","U.S. Senator from North Dakota","http://t.co/HwbUPceE1d",9857,398,"Fri Sep 30 17:55:30 +0000 2011","Eastern Time (US & Canada)","en","R"
"senjohnmccain",19394188,19394188,"John McCain","SenJohnMcCain","Washington, DC","U.S. Senator John McCain (R-AZ)",NA,1922549,326,"Fri Jan 23 13:42:31 +0000 2009","Eastern Time (US & Canada)","en","R"
"senjohnsonsd",244243985,244243985,"Senator Tim Johnson","SenJohnsonSD","","U.S. Senator from South Dakota.","http://t.co/MvUhd0d0Fy",12063,52,"Fri Jan 28 21:37:51 +0000 2011","Central Time (US & Canada)","en","D"
"senjohnthune",296361085,296361085,"Senator John Thune","SenJohnThune","","U.S. Senator John Thune, South Dakota. Chairman @Senate_GOPs & @CommerceGOP Ranking Member. Father. Husband. Avid Outdoorsman. Sports Fan.","http://t.co/KY2J3bUGY9",29851,307,"Tue May 10 16:41:48 +0000 2011","Eastern Time (US & Canada)","en","R"
"senlandrieu",413466731,413466731,"Senator Landrieu","SenLandrieu","Louisiana","I grew up in Louisiana and have been proud to serve it for more than 30 years. I am married to Frank Snellings and we have 2 children and a dog, Sugar Belle.","http://t.co/So5MVccSEX",17716,239,"Tue Nov 15 22:40:40 +0000 2011","Central Time (US & Canada)","en","D"
"senmikelee",88784440,88784440,"Mike Lee","SenMikeLee","Utah","I am the United States Senator from the great state of Utah. Please help me restore constitutional leadership to Washington!","http://t.co/M8Va5JJa4L",152761,2345,"Mon Nov 09 22:47:47 +0000 2009","Mountain Time (US & Canada)","en","R"
"senorrinhatch",262756641,262756641,"Senator Hatch Office","SenOrrinHatch","","U.S. Senator from Utah. Tweets are by Sen. Hatch's staff; those signed ogh are from Sen. Hatch himself.","http://t.co/J4uQN7sg8O",11463,50,"Tue Mar 08 18:04:18 +0000 2011","Eastern Time (US & Canada)","en","R"
"senpatroberts",75364211,75364211,"Pat Roberts","SenPatRoberts","Kansas and Washington, DC","United States Senator from Kansas","http://t.co/hroyLNRzED",14645,685,"Fri Sep 18 19:34:56 +0000 2009","Central Time (US & Canada)","en","R"
